Task No,Interval,Highlight,Critical Situation,Crirical binary,NH->H,NH->NH(C),H => NH(C),D1,D2,D3,D4,Question
1,1,0,2,1,,,,0,0,2,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0
1,4,1,4,1,1,0,0,0,4,0,0,0
1,5,0,3,1,0,0,1,3,0,0,0,0
1,6,1,1,1,1,0,0,0,1,0,0,1
1,7,1,4,1,0,0,0,4,0,0,0,0
1,8,0,1,1,0,0,1,0,1,0,0,0
1,9,1,1,1,1,0,0,0,1,0,0,0
1,10,0,4,1,0,0,1,0,0,0,4,1
1,11,0,2,1,0,1,0,0,0,2,0,0
1,12,0,0,0,0,0,0,0,0,0,0,0
1,13,1,2,1,1,0,0,0,0,2,0,1
1,14,1,1,1,0,0,0,0,1,0,0,0
1,15,1,3,1,0,0,0,3,0,0,0,0
1,16,1,2,1,0,0,0,0,0,2,0,0
1,17,0,4,1,0,0,1,0,0,0,4,1
1,18,1,2,1,1,0,0,0,0,2,0,0
1,19,0,4,1,0,0,1,0,0,4,0,1
1,20,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,1,,,,0,0,3,0,0
2,2,0,3,1,0,0,1,0,0,3,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0
2,5,0,2,1,0,1,0,2,0,0,0,0
2,6,0,3,1,0,1,0,0,0,0,3,0
2,7,1,1,1,1,0,0,0,1,0,0,0
2,8,1,3,1,0,0,0,0,0,0,3,0
2,9,1,4,1,0,0,0,0,0,0,4,0
2,10,0,0,0,0,0,0,0,0,0,0,1
2,11,1,4,1,1,0,0,0,0,4,0,0
2,12,0,4,1,0,0,1,0,4,0,0,1
2,13,0,0,0,0,0,0,0,0,0,0,0
2,14,1,2,1,1,0,0,2,0,0,0,0
2,15,0,1,1,0,0,1,0,1,0,0,1
2,16,1,2,1,1,0,0,2,0,0,0,0
2,17,0,1,1,0,0,1,0,1,0,0,0
2,18,1,4,1,1,0,0,0,4,0,0,1
2,19,1,3,1,0,0,0,0,0,3,0,0
2,20,1,3,1,0,0,0,0,0,0,3,1
3,1,0,3,1,,,,0,0,0,3,0
3,2,0,0,0,0,0,0,0,0,0,0,0
3,3,1,3,1,1,0,0,0,0,3,0,0
3,4,0,1,1,0,0,1,0,0,0,1,0
3,5,0,1,1,0,1,0,0,0,0,1,0
3,6,0,3,1,0,1,0,0,0,0,3,1
3,7,0,0,0,0,0,0,0,0,0,0,0
3,8,0,4,1,0,1,0,0,0,4,0,1
3,9,1,2,1,1,0,0,0,2,0,0,0
3,10,0,4,1,0,0,1,0,0,0,4,1
3,11,1,2,1,1,0,0,0,2,0,0,0
3,12,0,4,1,0,0,1,0,0,4,0,1
3,13,0,2,1,0,1,0,0,2,0,0,0
3,14,0,0,0,0,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,0,0,0,0,0
3,16,1,1,1,1,0,0,0,0,0,1,0
3,17,0,3,1,0,0,1,0,0,3,0,0
3,18,1,1,1,1,0,0,0,0,0,1,0
3,19,0,2,1,0,0,1,0,2,0,0,0
3,20,0,1,1,0,1,0,0,0,0,1,1
4,1,0,0,0,,,,0,0,0,0,0
4,2,1,1,1,1,0,0,0,1,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0
4,5,1,2,1,1,0,0,0,0,2,0,0
4,6,1,1,1,0,0,0,0,1,0,0,1
4,7,1,2,1,0,0,0,0,0,2,0,0
4,8,0,0,0,0,0,0,0,0,0,0,1
4,9,0,1,1,0,1,0,0,1,0,0,0
4,10,1,1,1,1,0,0,0,1,0,0,0
4,11,0,4,1,0,0,1,0,4,0,0,1
4,12,1,4,1,1,0,0,0,0,4,0,0
4,13,0,2,1,0,0,1,0,0,2,0,1
4,14,1,1,1,1,0,0,0,1,0,0,0
4,15,0,1,1,0,0,1,0,1,0,0,0
4,16,1,3,1,1,0,0,0,0,3,0,0
4,17,0,4,1,0,0,1,4,0,0,0,0
4,18,0,1,1,0,1,0,0,1,0,0,0
4,19,1,4,1,1,0,0,0,4,0,0,0
4,20,0,1,1,0,0,1,0,1,0,0,1
5,1,0,3,,,0,,0,3,0,0,0
5,2,1,4,,,0,,4,0,0,0,0
5,3,1,3,,,0,,0,0,3,0,0
5,4,0,0,,,0,,0,0,0,0,0
5,5,0,0,,,1,,0,0,0,0,0
5,6,1,3,,,0,,0,3,0,0,0
5,7,1,3,,,0,,0,3,0,0,1
5,8,1,2,,,0,,0,2,0,0,0
5,9,0,4,,,0,,0,4,0,0,1
5,10,1,1,,,0,,1,0,0,0,0
5,11,1,1,,,0,,1,0,0,0,1
5,12,1,3,,,0,,0,3,0,0,0
5,13,0,2,,,0,,0,2,0,0,1
5,14,0,4,,,1,,0,0,4,0,0
5,15,0,4,,,1,,0,0,4,0,0
5,16,0,0,,,1,,0,0,0,0,0
5,17,0,0,,,1,,0,0,0,0,0
5,18,1,1,,,0,,1,0,0,0,1
5,19,0,4,,,0,,0,0,4,0,0
5,20,0,3,,,1,,0,0,0,3,0
6,1,1,3,,,0,,0,0,3,0,0
6,2,0,2,,,0,,2,0,0,0,0
6,3,1,1,,,0,,0,0,1,0,0
6,4,0,0,,,0,,0,0,0,0,0
6,5,0,4,,,1,,0,4,0,0,0
6,6,1,4,,,0,,4,0,0,0,1
6,7,0,4,,,0,,4,0,0,0,0
6,8,0,3,,,1,,0,3,0,0,1
6,9,0,2,,,1,,2,0,0,0,0
6,10,0,0,,,1,,0,0,0,0,1
6,11,1,2,,,0,,2,0,0,0,0
6,12,1,3,,,0,,0,0,0,3,0
6,13,1,4,,,0,,0,0,0,4,1
6,14,0,3,,,0,,0,0,3,0,0
6,15,0,2,,,1,,2,0,0,0,0
6,16,0,0,,,1,,0,0,0,0,1
6,17,0,0,,,1,,0,0,0,0,0
6,18,0,2,,,1,,2,0,0,0,0
6,19,1,4,,,0,,0,0,4,0,0
6,20,0,2,,,0,,2,0,0,0,0
